job_title,job_detail_url,job_listed,company_name,company_link,company_location
"Data Analyst, Lyft Media",https://www.linkedin.com/jobs/view/data-analyst-lyft-media-at-lyft-3941227696?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=pGiN9tV5Qi2sJp%2B5ND0BjA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,Lyft,https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
"Data Analyst, Lyft Media",https://www.linkedin.com/jobs/view/data-analyst-lyft-media-at-lyft-3941228528?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=OUK1jWlftHhxZvvrtB7Jlw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,Lyft,https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco County, CA"
Data Analyst (Entry Level),https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-engtal-3936949327?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=RlGhiISsmnTAef6Km%2BYp1g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Engtal,https://www.linkedin.com/company/engtal?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3901104765?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=hn%2FxePede82RP6mM65lxTg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Santa Monica, CA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3943830415?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=2m1whYhUmS9MW%2BDVVmDwGw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Santa Monica, CA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-cash-app-3943930797?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=RN7cJdoDKxgjrbtD%2FOmaNA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Cash App,https://www.linkedin.com/company/cash-app?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA"
Data Analyst I,https://www.linkedin.com/jobs/view/data-analyst-i-at-flexport-3944157668?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=PljFI0hHIWoqylmbX2CQVA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago,Flexport,https://www.linkedin.com/company/flexport?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bellevue, WA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-stripe-3943774117?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=SxEMT5t0v6SPYODrxeLXzQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Stripe,https://www.linkedin.com/company/stripe?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3943517264?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=w7MHcPuUi%2Fz1x3tFG60fNw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Santa Monica, CA"
"data analyst, Logistics Services (Remote - U.S.)",https://www.linkedin.com/jobs/view/data-analyst-logistics-services-remote-u-s-at-starbucks-3939827824?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=2e%2BwVuDMP9oyySCRf4rc5A%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Starbucks,https://www.linkedin.com/company/starbucks?trk=public_jobs_jserp-result_job-search-card-subtitle,"Seattle, WA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-johnson-johnson-3936912394?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=8BqM5CNwZes%2FK%2BWY6OtfpA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Johnson & Johnson,https://www.linkedin.com/company/johnson-&-johnson?trk=public_jobs_jserp-result_job-search-card-subtitle,"Raritan, NJ"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-cincinnati-development-fund-3939803429?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=oKZAWOpjsv2TimSdwepNLw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Cincinnati Development Fund,https://www.linkedin.com/company/cincinnati-development-fund?trk=public_jobs_jserp-result_job-search-card-subtitle,Cincinnati Metropolitan Area
Marketing Data Analyst,https://www.linkedin.com/jobs/view/marketing-data-analyst-at-city-barbeque-3942910740?refId=pNLqe6p5J42rhB6EvenKqg%3D%3D&trackingId=vk4xj35CtPEDWtmdwueW%2FQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,City Barbeque,https://www.linkedin.com/company/city-barbeque?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, OH"
