job_title,job_detail_url,job_listed,company_name,company_link,company_location
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-gap-3940376065?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=A2ZLQ3B0Fa6L3PpgrsKR5g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Gap,https://www.linkedin.com/company/gap-inc--gap?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, United States"
Social Media Coordinator,https://www.linkedin.com/jobs/view/social-media-coordinator-at-tarte-cosmetics-3932933128?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=uBLdOikdIKe2wDSUfUinIA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Tarte Cosmetics,https://www.linkedin.com/company/tarte-cosmetics?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Social Media Intern,https://www.linkedin.com/jobs/view/social-media-intern-at-hint-inc-3942811392?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=SWo31jYPg7WBbEPkMzu4Qw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,Hint Inc.,https://www.linkedin.com/company/drinkhint?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA"
Social Media Marketing Manager,https://www.linkedin.com/jobs/view/social-media-marketing-manager-at-accor-3944626496?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=oQe%2BisG13qy%2BJ86Bqok6rg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Accor,https://fr.linkedin.com/company/accor?trk=public_jobs_jserp-result_job-search-card-subtitle,"Scottsdale, AZ"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-kodiak-cakes-3934497860?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=kyKlhPBhKvicBNFIW9nTLA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Kodiak Cakes,https://www.linkedin.com/company/kodiak-cakes?trk=public_jobs_jserp-result_job-search-card-subtitle,"Park City, UT"
Social Media Manager & Content Creator,https://www.linkedin.com/jobs/view/social-media-manager-content-creator-at-there-stories-3940864987?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=iuWGu4Kp%2FPgufFjS%2BAZrqA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,THERE Stories,https://www.linkedin.com/company/there-stories?trk=public_jobs_jserp-result_job-search-card-subtitle,Maui
Social Media Assistant,https://www.linkedin.com/jobs/view/social-media-assistant-at-rancher-hat-bar-3938829509?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=4vmKP496UJnK8qNuPm20EQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,6 days ago,Rancher Hat Bar,https://www.linkedin.com/company/rancherhatbar?trk=public_jobs_jserp-result_job-search-card-subtitle,"Scottsdale, AZ"
Entry Level Social Media Assistant,https://www.linkedin.com/jobs/view/entry-level-social-media-assistant-at-this-is-voice-3938670064?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=Q52oPcXTKnKKMvTNrcqWHg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,This Is Voice,https://www.linkedin.com/company/this-is-voice?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jacksonville, FL"
Social Media Content Creator,https://www.linkedin.com/jobs/view/social-media-content-creator-at-twine-3943483497?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=lCy6dV7AuujIPK0O8bgx6A%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Twine,https://uk.linkedin.com/company/twine.is?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Social Media Assistant,https://www.linkedin.com/jobs/view/social-media-assistant-at-endorse-infinity-3938871119?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=aBSgb%2BhheXmZ0w%2BpXFfDBQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Endorse Infinity,https://www.linkedin.com/company/endorseinfinity?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
Entry Level Social Media Assistant,https://www.linkedin.com/jobs/view/entry-level-social-media-assistant-at-draft-note-design-3944623891?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=q4VR6dEmbttmdf2WlePtgw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Draft Note Design,https://www.linkedin.com/company/draft-note-design?trk=public_jobs_jserp-result_job-search-card-subtitle,"Orlando, FL"
Social Media/Digital Marketing Intern (Fall Semester 2024),https://www.linkedin.com/jobs/view/social-media-digital-marketing-intern-fall-semester-2024-at-toyota-of-orlando-3944202238?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=%2FIUrsEqDrLdngv7sL0TRMA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago,Toyota of Orlando,https://www.linkedin.com/company/toyota-of-orlando?trk=public_jobs_jserp-result_job-search-card-subtitle,"Orlando, FL"
Social Media Intern,https://www.linkedin.com/jobs/view/social-media-intern-at-pangaea-3935368002?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=B8r2l2hjNuNeZDe1dJez%2Fw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Pangaea,https://www.linkedin.com/company/pangaeaholdings?trk=public_jobs_jserp-result_job-search-card-subtitle,"California, United States"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-maya-chia-3942661962?refId=dSEcZbUIagHfkoPvppuzhA%3D%3D&trackingId=ldh2IE9umcLSs2h9agTHMw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,Maya Chia,https://www.linkedin.com/company/maya-chia-beauty?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mount Pleasant, SC"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-ruckus-films-3942213483?refId=XcLf6pkd2EFp8iBd1m2cqw%3D%3D&trackingId=1HSgMWmTD9LwG2Da9VNtvQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago,Ruckus Films,https://www.linkedin.com/company/ruckus-films?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-maya-chia-3942213505?refId=XcLf6pkd2EFp8iBd1m2cqw%3D%3D&trackingId=kesLxHR3aIaM%2BGOri8ps2g%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago,Maya Chia,https://www.linkedin.com/company/maya-chia-beauty?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mount Pleasant, SC"
Communications and Social Media Specialist,https://www.linkedin.com/jobs/view/communications-and-social-media-specialist-at-cadwalader-wickersham-taft-llp-3937046882?refId=XcLf6pkd2EFp8iBd1m2cqw%3D%3D&trackingId=QPmkpgiAolL3YjEXgLTS%2BA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Cadwalader, Wickersham & Taft LLP",https://www.linkedin.com/company/cadwalader-wickersham-&-taft-llp?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Social Media Assistant,https://www.linkedin.com/jobs/view/social-media-assistant-at-tribeca-3939320016?refId=XcLf6pkd2EFp8iBd1m2cqw%3D%3D&trackingId=BMbRIypjJMJVf9daodu%2BVA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,TRIBECA,https://www.linkedin.com/company/tribecaoutsourcing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Orlando, FL"
Entry Level Social Media Assistant,https://www.linkedin.com/jobs/view/entry-level-social-media-assistant-at-hype-tier-3939287550?refId=XcLf6pkd2EFp8iBd1m2cqw%3D%3D&trackingId=Mi9pL%2FoRLC1Mwxez456Ysg%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago,Hype Tier,https://www.linkedin.com/company/hhypetier?trk=public_jobs_jserp-result_job-search-card-subtitle,"Philadelphia, PA"
